,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
14825,2018-09-06,"['certeza', 'podemos', 'reconstruir', 'país', 'voltar', 'sonhar', 'grande', 'nação', 'anima', 'posso', 'conformar', 'sofrimento', 'pobres', 'castigo', 'abatendo', 'sobre', 'classe', 'trabalhadora', 'assim', 'conformo', 'situação']","[0, 280]",252,120,2018
2434,2018-09-06,"['podem', 'certos', 'impediremos', 'privatização', 'eletrobrás', 'banco', 'brasil', 'caixa', 'esvaziamento', 'bndes', 'todos', 'instrumentos', 'país', 'dispõe', 'promover', 'desenvolvimento', 'bemestar', 'social']","[0, 231]",229,100,2018
11620,2018-09-06,"['muitas', 'candidaturas', 'trajetória', 'diferente', 'compromisso', 'vida', 'privilégio', 'ver', 'brasil', 'avançar', 'benefício', 'pobres', 'séculos', 'exclusão', 'abandono', 'pode', 'omitir', 'hora', 'difícil', 'gente']","[0, 277]",433,160,2018
13664,2018-09-06,"['cruéis', 'retrocessos', 'provocados', 'política', 'destruição', 'petrobrás', 'soberania', 'nacional', 'conduzida', 'entreguistas', 'psdb', 'apoiaram', 'golpe', '2016']","[0, 181]",202,85,2018
11592,2018-09-06,"['assim', 'governo', 'legitimidade', 'enfrentar', 'grandes', 'desafios', 'poderá', 'dialogar', 'todos', 'setores', 'nação', 'respaldado', 'voto', 'popular', 'missão', 'proponho', 'aceitar', 'candidatura', 'presidencial', 'partido', 'trabalhadores']","[0, 262]",184,76,2018
10228,2018-09-06,"['angustia', 'pois', 'sei', 'lado', 'cada', 'dia', 'famílias', 'voltam', 'viver', 'ruas', 'abandonadas', 'estado', 'deveria', 'protegêlas', 'onde', 'encontro', 'quero', 'renovar', 'mensagem', 'fé', 'brasil', 'povo']","[0, 246]",270,111,2018
2466,2018-09-06,"['condenaram', 'sérgio', 'moro', 'desembargadores', 'trf4', 'sabem', 'armaram', 'farsa', 'judicial', 'prender', 'pois', 'demonstrei', 'inocência', 'processo', 'conseguiram', 'apresentar', 'prova', 'crime', 'acusam']","[0, 231]",401,162,2018
7991,2018-09-06,"['deu', 'guardian', 'maiores', 'jornais', 'mundo', 'expresidente', 'lula', 'preso', 'tirálo', 'eleição']","[0, 130]",2179,1138,2018
8894,2018-09-06,"['sonho', 'país', 'democracia', 'prevaleça', 'sobre', 'arbítrio', 'monopólio', 'mídia', 'preconceito', 'discriminação', 'sonho', 'presidente', 'país', 'todos', 'direitos', 'ninguém', 'privilégios']","[0, 212]",272,105,2018
14898,2018-09-06,"['assim', 'vou', 'preparando', 'fé', 'deus', 'muita', 'confiança', 'dia', 'reencontro', 'querido', 'povo', 'brasileiro', 'reencontro', 'ocorrerá', 'vida', 'faltar', 'breve', 'gente', 'viva', 'brasil', 'viva', 'democracia', 'viva', 'povo', 'brasileiro']","[0, 254]",1209,361,2018
8880,2018-09-06,"['mostramos', 'possível', 'fazer', 'governo', 'pacificação', 'nacional', 'brasil', 'caminhe', 'encontro', 'brasileiros', 'especialmente', 'pobres', 'trabalhadores']","[0, 173]",240,97,2018
14266,2018-09-06,"['direto', 'curitiba', 'otto', 'lulalivre', 'jornada', 'agroecologia', 'vídeo', 'cláudio', 'kbene']","[0, 90]",1342,414,2018
14077,2018-09-07,"['acionaram', 'presidente', 'tribunal', 'resolver', 'conflito', 'existia', 'plantonista', 'presidente', 'ontem', 'brasil', 'assistiu', 'partidarização', 'justiça', 'pauloteixeira13']","[0, 198]",624,215,2018
6061,2018-09-07,"['senadora', 'presidenta', 'pt', 'gleisi', 'afirmou', 'movimentos', 'entrarão', 'representação', 'contra', 'moro', 'gebran', 'thompson', 'flores', 'cnj', 'corregedoria', 'polícia', 'federal', 'deve', 'acionada', 'cumprimento', 'ordem', 'judicial']","[0, 251]",555,273,2018
11934,2018-09-07,"['resolvemos', 'impetrar', 'habeas', 'corpus', 'liminar', 'concedida', 'desembargador', 'questiona', 'obedece', 'obedeceu', 'ainda', 'acionou', 'trf4', 'ligou', 'pra', 'pf', 'pediu', 'pra', 'polícia', 'cumprir', 'ordem', 'relata', 'pauloteixeira13']","[0, 242]",572,216,2018
10264,2018-09-07,"['lula', 'silva', 'hoje', 'reconhecido', 'mundialmente', 'preso', 'político', 'ninguém', 'ignora', 'processo', 'movido', 'servem', 'unicamente', 'objetivo', 'impedir', 'candidatura', 'eleições', 'presidenciais', 'diz', 'texto']","[0, 241]",2516,1081,2018
12737,2018-09-07,"['desembargador', 'competência', 'pra', 'proferir', 'decisão', 'cumprida', 'além', 'interferência', 'juiz', 'sérgio', 'moro', 'cumprimento', 'decisão', 'afirma', 'advogado', 'lula', 'cristiano', 'zanin', 'czmartins']","[0, 215]",407,157,2018
8744,2018-09-07,"['segue', 'luta', 'liberdade', 'lula', 'volta', 'melhor', 'presidente', 'brasil', 'foto', 'ricardo', 'stuckert']","[0, 114]",1425,364,2018
11207,2018-09-07,"['primavera', 'sonhos', 'cabem', 'prisão', 'muro', 'dez', 'metros', 'grafitado', 'imagem', 'lula', 'uberlândia', 'principais', 'artistas', 'minas', 'gerais', 'tiagodequete', 'lulalivrejá', 'via', 'midianinja']","[0, 223]",1402,607,2018
1896,2018-09-07,"['última', 'semana', 'junho', 'programado', 'julgamento', 'hc', '2ª', 'turma', 'stf', 'fez', 'trf4', 'liberou', 'recurso', 'apenas', 'stj', 'forma', 'arquivar', 'julgamento', 'hc', 'relembra', 'pauloteixeira13', 'direito', 'nome', 'chicana', 'jurídica']","[0, 259]",374,183,2018
8885,2018-09-07,"['onze', 'governadores', 'assinaram', 'nota', 'leia', 'íntegra', 'lulalivrejá']","[0, 88]",792,341,2018
2125,2018-09-07,"['vivo', 'coletiva', 'imprensa', 'senadora', 'presidenta', 'pt', 'gleisi', 'hoffmann']","[0, 101]",126,45,2018
12867,2018-09-07,"['lula', 'todos', 'brasileiros', 'pode', 'beneficiado', 'privilégios', 'ilegais', 'pode', 'perseguido', 'evidentemente', 'sido', 'diz', 'texto', 'leia', 'íntegra']","[0, 202]",2711,1025,2018
6589,2018-09-07,"['advogados', 'monitorados', 'agentes', 'estado', 'soubessem', 'próximos', 'passos', 'aspecto', 'ausência', 'imparcialidade', 'reforçado', 'aconteceu', 'ontem', 'compatível', 'hierarquia', 'judicial', 'aconteceu', 'ontem', 'czmartins']","[0, 264]",967,364,2018
4130,2018-09-07,"['vivo', 'coletiva', 'imprensa', 'advogado', 'presidente', 'lula', 'cristiano', 'zanin']","[0, 101]",170,71,2018
13483,2018-09-07,"['vigília', 'lula', 'livre', 'reunida', 'frente', 'polícia', 'federal', 'curitiba', 'libertação', 'presidente', 'lula', 'foto', 'ricardo', 'stuckert']","[0, 129]",6214,2277,2018
294,2018-09-07,"['nota', 'deputados', 'paulo', 'pimenta', 'deputadofederal', 'pauloteixeira13', 'wadihdamous', 'sobre', 'decisão', 'desembargador', 'presidente', 'trf4']","[0, 162]",323,132,2018
2059,2018-09-07,"['leia', 'íntegra', 'nota', 'fundação', 'lulalivrejá']","[0, 69]",346,164,2018
1104,2018-09-07,"['artista', 'ligianacanta', 'duo', 'nunaked', 'universe', 'manifesta', 'defesa', 'liberdade', 'lula', 'durante', 'maiores', 'prêmios', 'literatura', 'itália', 'premio', 'flaiano', 'lulalivrejá', 'freelula']","[0, 189]",1091,472,2018
14425,2018-09-07,"['agora', 'aguardamos', 'recursos', 'dirigidos', 'tribunais', 'superiores', 'expectativa', 'pedido', 'cautelar', 'julgado', 'agosto', 'garantir', 'liberdade', 'plena', 'presidente', 'lula', 'afirma', 'czmartins']","[0, 210]",355,139,2018
3683,2018-09-07,"['deputados', 'paulo', 'pimenta', 'deputadofederal', 'wadihdamous', 'resistência', 'curitiba', 'autores', 'pedido', 'habeas', 'corpus', 'concedido', 'trf4', 'lula', 'segue', 'preso', 'após', 'manobra', 'juiz', 'sérgio', 'moro', 'fotos', 'ricardo', 'stuckert']","[0, 242]",848,264,2018
780,2018-09-08,"['candidatura', 'lidera', 'pesquisas', 'impedida', 'debater', 'demais', 'propostas', 'ideias', 'defendidas', 'milhões', 'brasileiros']","[0, 142]",95,43,2018
2058,2018-09-08,[],"[0, 23]",1495,452,2018
4146,2018-09-08,[],"[0, 23]",315,133,2018
2476,2018-09-08,"['confira', 'íntegra', 'carta', 'lula', 'link', 'debatecomlula', 'debateband']","[0, 94]",350,164,2018
4435,2018-09-08,"['lula', 'retira', 'candidatura', 'vamos', 'elegêlo', 'pediu', 'pra', 'dizer', 'haddadfernando', 'voz', 'enquanto', 'preso', 'haddad', 'tarefa', 'dada', 'próprio', 'presidente', 'vagnerlulasilva']","[0, 198]",232,82,2018
844,2018-09-08,"['vivo', 'secretáriageral', 'confederação', 'sindical', 'internacional', 'csi', 'sharan', 'burrow', 'vagner', 'freitas', 'presidente', 'cut', 'relatam', 'visita', 'lula']","[0, 171]",69,24,2018
12088,2018-09-08,"['daqui', 'pouco', '22h', 'transmitiremos', 'vivo', 'simultaneamente', 'debateband', 'haddadfernando', 'manueladavila', 'gleisi', 'hoffmann', 'sérgio', 'gabrielli', 'debatendo', 'planolula', 'propostas', 'país', 'participem', 'tag', 'debatecomlula']","[0, 235]",1470,509,2018
4412,2018-09-08,"['decisão', 'excluir', 'debate', 'presidenciáveis', 'promovido', 'band', 'viola', 'direito', 'povo', 'brasileiro', 'outros', 'candidatos', 'discutir', 'propostas', 'candidatura', 'criticarem', 'olhando', 'frente', 'tendo', 'direito', 'responder']","[0, 280]",119,43,2018
4925,2018-09-08,"['repetiu', 'sempre', 'pede', 'apresentem', 'provas', 'contra', 'rasguem', 'constituição', 'nome', 'impedir', 'candidatura', 'vagnerlulasilva']","[0, 156]",114,28,2018
