,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
14701,2018-04-09,"['tarde', 'hoje', 'marinete', 'silva', 'antônio', 'francisco', 'silva', 'neto', 'pais', 'marielle', 'franco', 'participaram', 'boa', 'tarde', 'presidente', 'lula', 'vigília', 'lula', 'livre', 'mariellevive', 'lulalivre']","[0, 189]",346,124,2018
8173,2018-04-09,"['entrevista', 'após', 'visitar', 'presidente', 'lula', 'haddadfernando', 'candidato', 'vicepresidente', 'coligação', 'povo', 'feliz', 'novo', 'afirmou', 'ptbrasil', 'vai', 'tomar', 'todas', 'providências', 'jurídicas', 'assegurar', 'candidatura', 'lula']","[0, 258]",904,302,2018
9350,2018-04-09,"['lulaço', 'dia', 'aconteceu', 'brasília', 'shopping']","[0, 45]",2238,683,2018
8856,2018-04-09,"['vamos', 'lutar', 'candidatura', 'presidente', 'lula', 'povo', 'quer', 'assim', 'direito', 'diz', 'constituição', 'onu', 'wadihdamous', 'advogado', 'lula', 'após', 'visita', 'presidente']","[0, 188]",333,93,2018
563,2018-04-09,"['stf', 'deveria', 'fazer', 'julgar', 'questão', 'mérito', 'processo', 'condenou', 'presidente', 'lula', 'antes', 'inviabilizálo', 'eleitoralmente', 'wadihdamous', 'advogado', 'lula', 'após', 'visita', 'presidente']","[0, 200]",218,78,2018
14210,2018-04-09,"['situação', 'gravidade', 'gigantesca', 'porque', 'bolsa', 'família', 'atuais', 'patamares', 'insuficiente', 'dar', 'conta', 'calamidade', 'brasil', 'vive', 'tereza', 'campello', 'exministra', 'desenvolvimento', 'social', 'combate', 'fome']","[0, 254]",379,146,2018
6625,2018-04-09,"['confira', 'áudio', 'inédito', 'três', 'horas', 'entrevista', 'lula', 'publicado', 'podcast', 'anticast', 'gravações', 'originaram', 'livro', 'verdade', 'vencerá', 'lançado', 'editoraboitempo']","[0, 201]",389,136,2018
8453,2018-04-09,[],"[0, 23]",238,75,2018
142,2018-04-09,['recadodolula'],"[0, 13]",354,124,2018
9850,2018-04-09,"['hoje', 'protocolamos', 'recurso', 'extraordinário', 'supremo', 'tribunal', 'federal', 'continuaremos', 'lutando', 'reconhecimento', 'direito', 'presidente', 'lula', 'candidato', 'wadihdamous', 'advogado', 'lula', 'após', 'visita', 'presidente']","[0, 225]",298,102,2018
10894,2018-04-09,"['parece', 'presidente', 'lula', 'pode', 'livre', 'candidato', 'tempo', 'parece', 'escolher', 'dois', 'direitos', 'caso', 'querem', 'escolha', 'direito', 'liberdade', 'abra', 'mão', 'direito', 'candidato', 'wadihdamous', 'advogado', 'lula']","[0, 261]",691,274,2018
