,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
656,2016-01-09,"['vez', 'verdade', 'aparece']","[0, 55]",503,199,2016
5854,2016-01-10,"['todos', 'lugares', 'idiotas', 'úteis', 'mentirosos', 'desinformantes', 'burros', 'importa', 'todos', 'lugares']","[0, 140]",189,38,2016
2491,2016-01-10,"['eleito', '17', 'anos', 'data', 'posse', 'ter', '18', 'tse', 'abraço', 'jb']","[0, 70]",243,37,2016
5668,2016-01-10,"['grato', 'consideração', 'confiança']","[0, 36]",473,129,2016
1548,2016-01-10,"['live', 'ontem', 'pmdb', 'pt', 'verdades', 'eleições', '2016', 'outros', 'assuntos', 'bolsonarosp']","[0, 110]",115,24,2016
6258,2016-01-10,"['acabamos', 'fazer', 'live', 'facebook', 'sobre', 'pesquisas', 'eleitorais', '2016', 'eleições', '2018', 'assista']","[0, 132]",622,121,2016
4615,2016-01-10,"['todos', 'lugares', 'idiotas', 'úteis', 'mentirosos', 'desinformantes', 'burros', 'importa', 'todos', 'lugares']","[0, 139]",292,57,2016
4469,2016-01-10,"['anos', 'educassaum', 'petista', 'transformaram', 'pensamentos', 'restabelecer', 'verdade', 'crédito', 'lógica', 'fatos']","[0, 120]",238,53,2016
4316,2016-01-10,"['votar', 'rio', 'janeiro', 'possível', 'claro', 'agradeço', 'confiança', 'consideração', 'carlosbolsonaro', 'flaviobolsonaro']","[0, 128]",793,313,2016
5390,2016-01-10,"['tipo', 'psol', 'socialismo', 'liberdade', 'çei']","[0, 44]",223,48,2016
4675,2016-01-10,"['todos', 'lugares', 'idiotas', 'úteis', 'mentirosos', 'desinformantes', 'burros', 'importa', 'todos', 'lugares']","[0, 140]",174,39,2016
603,2016-01-10,"['facebook', 'youtube', 'whatssapp', 'twitter', 'instagram', 'emails', 'site', 'blog', 'pessoalmente', 'congresso', 'cmrjñ', 'onipresentes', 'infelizmente']","[0, 137]",223,35,2016
4807,2016-01-10,"['obrigado', 'sempre', 'consideração', 'combustível', '🇧🇷']","[0, 63]",366,65,2016
3471,2016-01-11,"['tv', 'uol', 'corrida', 'presidencial']","[0, 32]",281,60,2016
1227,2016-01-14,"['rádio', 'verde', 'vale', 'fm', '1035', 'miracatu', 'sp', 'desemprego', 'recessão', 'miséria']","[0, 105]",106,41,2016
3808,2016-01-15,"['petistas', 'tds', 'iguais', 'flagrados', 'crime', 'dizem', 'sabia', 'mentira', 'mec', 'sempre', 'mentiu', 'sobre', 'livros']","[0, 140]",427,316,2016
4509,2016-01-15,"['nascem', 'livros', 'pornográficos', 'pt', 'palavra', 'secretário', 'alfabetização', 'mec']","[0, 121]",272,224,2016
4984,2016-01-16,"['resposta', 'revista', 'nova', 'escola', 'operação', 'casada', 'mec', 'distribui', 'livros', 'estimulam', 'sexo', 'criancinhas']","[0, 137]",355,265,2016
2228,2016-01-17,"['aula', 'crianças', 'mec', 'sugere', 'passar', 'mão', 'coleguinha', 'banheiro', 'assistir', 'vídeos', 'adultos', 'namorando']","[0, 139]",548,477,2016
1710,2016-01-17,"['prints', 'alguns', 'trechos', 'publicação', 'mec', 'erotizando', 'crianças', 'caso', 'resolvam', 'tirar', 'ar', 'canalhas', 'mil', 'vezes']","[0, 137]",1028,886,2016
6573,2016-01-18,"['noivo', 'psc', 'obrigado', 'todos']","[0, 66]",567,245,2016
836,2016-01-19,"['mauro', 'santayana', 'símbolos', 'esquerda', 'mortadelaalfafa', 'comparame', 'juiz', 'moro', 'ídolo', 'honestos', 'grato']","[0, 140]",257,114,2016
1684,2016-01-20,"['obrigado', 'sempre', 'consideração', 'odecarvalho']","[0, 73]",1345,587,2016
1140,2016-01-21,"['doações', 'friboi', 'verdade', 'omitida']","[0, 59]",285,216,2016
2737,2016-01-22,"['governo', 'controle', 'mídia', 'presidência', 'câmara', 'deputados', 'entenda', 'relação']","[0, 112]",363,229,2016
2966,2016-01-24,"['dias', '25', '26', 'janeiro', '2016', 'estarei', 'porto', 'alegrers', 'segue', 'programação', 'grande', 'abraço']","[0, 130]",619,228,2016
1361,2016-01-25,"['obrigado', 'povo', 'gaúcho', 'povo', 'brasileiro', 'seguimos', 'agenda', '🇧🇷🇧🇷🇧🇷']","[0, 94]",1125,485,2016
1618,2016-01-27,"['capa', 'jornal', 'condiz', 'co', 'sucesso', 'passagem', 'rs', 'jamais', 'aceitarei', 'provocação', 'mortadelas', 'alfafa']","[0, 140]",1058,446,2016
2671,2016-01-27,"['entrevista', 'tv', 'pampa', 'programa', 'pampa', 'debates', 'porto', 'alegre', 'rs', 'bate', 'pronto']","[0, 109]",222,84,2016
632,2016-01-28,"['foraforodesp', 'falta', 'pasta', 'culpa', 'escova', '3xdia', 'ass', 'min', 'venezuela', 'onde', 'pt', 'quer', 'levar']","[0, 140]",348,225,2016
1545,2016-01-28,"['palavra', 'rachelsherazade', 'direita', 'forte', 'entenda', 'portaljovempan']","[0, 102]",220,98,2016
1302,2016-01-29,"['amigos', 'gloriosa', 'marinha', 'brasil', 'abraço']","[0, 81]",246,53,2016
601,2016-01-30,"['reinaldo', 'azevedo', 'destinoume', 'minutos', 'redetv', 'mariana', 'godoy', 'tire', 'conclusões']","[0, 111]",325,120,2016
3379,2016-01-30,"['brasil', 'cura', 'economia', 'pt', 'recusa', 'discutir']","[0, 81]",267,139,2016
5359,2016-01-30,"['reinaldo', 'azevedo', 'bote', 'logo', 'mataburro', 'porta', 'casa', 'pois', 'caso', 'contrário', 'entrarão', 'comerão', 'todo', 'estoque', 'alfafa']","[0, 138]",656,278,2016
4591,2016-02-01,"['negócios', 'pt', 'china']","[0, 56]",380,355,2016
6213,2016-02-01,"['bons', 'tempos', 'pentatlo', 'escola', 'educação', 'física', 'exército', 'esefex']","[0, 98]",425,78,2016
