,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
4926,2018-09-15,"['diferença', 'enquantos', 'uns', 'gastam', 'dezenas', 'milhões', 'campanha', 'milhões', 'voluntários', 'movidos', 'sonho', 'brasil', 'justo', 'segurança', 'oportunidades', 'obrigado', 'povo', 'pombo', 'pe', 'obrigado', 'nordeste']","[0, 232]",29806,5779,2018
4912,2018-09-15,"['rejeição', 'aumenta', 'cada', 'dia']","[0, 33]",31524,7261,2018
6192,2018-09-15,"['vamos', 'juntos', 'irmãos', 'venezuelanos', '🇧🇷🇻🇪']","[0, 39]",11444,2300,2018
6223,2018-09-16,"['pombos', '👍🏻']","[0, 10]",6269,536,2018
1007,2018-09-16,"['assim', 'terminarmos', 'live', 'facebook', 'disponibilizaremos', 'canal', 'youtube']","[0, 112]",8284,1383,2018
3586,2018-09-16,"['autorização', 'equipe', 'médica', 'hospital', 'albert', 'einstein', 'hoje', '1650', 'farei', 'live', 'falar', 'todos', 'lá', 'forte', 'abraço', '👍🏻']","[0, 140]",21909,4385,2018
2489,2018-09-16,"['facebook', 'marcando', 'spam', 'tenta', 'compartilhar', 'live', 'jair', 'bolsonaro', 'feita', 'pouco', 'disponibilizamos', 'íntegra', 'youtube', 'alternativa', 'censura', 'assista', 'compartilhe']","[0, 217]",26540,7381,2018
5834,2018-09-16,"['pequeno', 'documentário', 'produzido', 'deputado', 'federal', 'eduardo', 'bolsonarosp', 'passagem', 'roraima', 'objetivo', 'retratar', 'crise', 'migratória', 'venezuelanos', 'norte', 'brasil', 'assista']","[0, 210]",9658,2012,2018
4888,2018-09-16,"['após', 'atentado', 'bolsonaro', 'fala', 'público', 'primeira', 'vez', 'assista', 'assuntos', 'tocados']","[0, 122]",14669,3060,2018
258,2018-09-16,"['vê', 'qualquer', 'destes', 'acusam', 'contra', 'democracia', 'posicionarem', 'contra', 'controle', 'mídia', 'internet', 'maioria', 'inclusive', 'agindo', 'contrariamente', 'liberdade', 'expressão']","[0, 202]",15514,2896,2018
3419,2018-09-16,"['controle', 'internet', 'regulação', 'mídia', 'principal', 'objetivo', 'barrar', 'crescimento', 'veículos', 'independentes', 'sob', 'pretexto', 'combater', 'fontes', 'seguras', 'assegurar', 'jornalismo', 'sério', 'calando', 'alinhados', 'agenda', 'globalista']","[0, 269]",24541,5237,2018
6572,2018-09-17,"['aprovar', 'leis', 'importante', 'brasil', 'paraíso', 'faltam', 'aqui', 'leis', 'muitas', 'inúteis', 'fazemos', 'parte', 'propondo', 'penas', 'duras', 'estupradores', 'redução', 'maioridade', 'penal', 'etc', 'impedindo', 'leis', 'ruins', 'passadas', 'adiante']","[0, 280]",36233,7311,2018
4449,2018-09-17,"['bom', 'dia', 'brasil', 'potencial', 'turístico', 'ímpar', 'mundo', 'porém', 'sufocado', 'violência', 'falta', 'infraestrutura', 'ativismo', 'ambiental', 'baía', 'angra', 'reis', 'exemplo', 'poderia', 'cancun', 'brasileira', 'economia', 'beleza', 'muitos', 'superior']","[0, 261]",22931,3978,2018
3826,2018-09-17,"['agradeço', 'movimentos', 'espontâneos', 'espalhados', 'todo', 'brasil', 'neste', 'final', 'semana', 'recuperação', 'certeza', 'dá', 'forças', 'cumprir', 'missão', 'vamos', 'mudar', 'brasil', 'obrigado', 'todos', '👍🏻']","[0, 223]",30178,6161,2018
1472,2018-09-17,"['resumir', 'atuação', 'parlamentar', 'aprovação', 'leis', 'sinal', 'incompetência', 'entender', 'funciona', 'poder', 'legislativo', 'má', 'fé', 'induzir', 'pessoas', 'erro', 'vício', 'modelos', 'governo', 'resultam', 'mecanismos', 'mensalão']","[0, 246]",16367,3010,2018
1795,2018-09-18,"['constituição', 'mapa', 'princípios', 'liberais', 'bússola', 'navegarmos', 'caminho', 'prosperidade', 'fundamentos', 'pessoas', 'certas', 'finalmente', 'trazer', 'país', 'valores', 'estampam', 'bandeira', 'verde', 'amarela', 'ordem', 'progresso']","[0, 276]",41623,8598,2018
431,2018-09-18,"['economia', 'governabilidade', 'descentralização', 'poder', 'dirimimos', 'suspeitas', 'relações', 'promíscuas', 'federação', 'estado', 'município', 'combatendo', 'problemas', 'peculiares', 'cada', 'região', 'facilitando', 'cidadão', 'fiscalização', 'aplicabilidade', 'recursos', 'públicos']","[0, 269]",24104,4408,2018
3307,2018-09-18,"['fake', 'news', 'descarado', 'cidadão', 'apontado', 'veja', 'online', 'hoje', 'nunca', 'lotado', 'gabinete']","[0, 108]",13383,3611,2018
3786,2018-09-19,"['pretendemos', '👍🏻']","[0, 15]",9396,771,2018
4579,2018-09-19,"['equipe', 'econômica', 'trabalha', 'redução', 'carga', 'tributária', 'desburocratização', 'desregulamentações', 'chega', 'impostos', 'lema', 'faremos', 'diferente', 'brasil', 'queremos']","[0, 196]",45170,9573,2018
5025,2018-09-19,"['agradeço', 'todos', 'demonstrando', 'apoio', 'variadas', 'formas', 'surpreendente', 'força', 'dá', 'seguir', 'frente', 'carlosbolsonaro', '🇧🇷👍🏻']","[0, 163]",41818,6411,2018
4775,2018-09-19,"['ignorem', 'notícias', 'mal', 'intencionadas', 'dizendo', 'pretendermos', 'recriar', 'cpmf', 'procede', 'querem', 'criar', 'pânico', 'pois', 'pânico', 'chance', 'vitória', 'ninguém', 'aguenta', 'impostos', 'consciência', 'disso', 'boa', 'noite', 'todos', '👍🏻']","[0, 242]",49165,13324,2018
6574,2018-09-19,"['misscaviar', '👍🏻']","[12, 14]",1938,91,2018
2447,2018-09-20,"['tentaram', 'tirar', 'disputa', 'covardia', 'esforço', 'cada', 'momento', 'crítico', 'ergue', 'ainda', 'mostrando', 'possível', 'vencer', 'vender', 'alma', 'mentiras', 'ninguém', 'vai', 'apagar', 'vamos', 'frente', 'chega', 'facções', 'comandando', 'brasil']","[0, 279]",60824,13731,2018
2670,2018-09-20,"['homens', 'menina', 'mudou', 'vida', 'crianças', 'sempre', 'lutarei']","[0, 90]",31804,6764,2018
644,2018-09-20,"['amnom2001', 'g1', '👍🏻']","[15, 17]",123,13,2018
4554,2018-09-20,"['oravodecaralho', '👍🏻']","[16, 18]",1205,59,2018
5973,2018-09-20,"['vamos', '🇧🇷']","[0, 11]",19923,4395,2018
2578,2018-09-20,"['brasileiro', 'desta', 'vez', 'opção', 'escolher', 'alguém', 'pegue', 'firme', 'contra', 'violência', 'favor', 'livre', 'mercado', 'contra', 'aborto', 'doutrinação', 'ideológica', 'educação', 'livre', 'acordões', 'políticos', 'favor', 'redução', 'maioridade', 'penal', 'mudaremos', 'juntos', 'direção', 'brasil']","[0, 279]",50750,11447,2018
